Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
WECO Geschirrreiniger Pulver 10kg nur für Gewerbe!;Verpackung/Reinigungsmittel/Hygiene;19;17,49;20,81
Largo Gechirrreiniger Tabs 5in1 450er Karton;Verpackung/Reinigungsmittel/Hygiene;19;25,99;30,93
WECO Glasreiniger Sprühflasche 1l;Verpackung/Reinigungsmittel/Hygiene;19;1,19;1,42
Largo Klarspüler 1Lt;Verpackung/Reinigungsmittel/Hygiene;19;1,19;1,42
WECO Rohrfrei Granulat Streudose 1kg ÄTZEND! Begrenzte Menge!;Verpackung/Reinigungsmittel/Hygiene;19;2,49;2,96
Largo Spülmittel Ultra Blau 500ml;Verpackung/Reinigungsmittel/Hygiene;19;0,79;0,94
eco-fix Fettlöser 750ml Sprühflasche;Verpackung/Reinigungsmittel/Hygiene;19;1,95;2,32
DUSO Javelwasser 2l Henkelflasche;Verpackung/Reinigungsmittel/Hygiene;19;2,69;3,2
DUSO Javelwasser 2l Henkelflasche;Verpackung/Reinigungsmittel/Hygiene;19;2,48;2,95
LargoSpülmaschinensalz 2kg Faltschachtel;Verpackung/Reinigungsmittel/Hygiene;19;1,49;1,77
LARGO Geschirr Reiniger Tabs All in One 40er Faltschachtel;Verpackung/Reinigungsmittel/Hygiene;19;3,19;3,8
Largo kalkreiniger 500ml Sprühflasche;Verpackung/Reinigungsmittel/Hygiene;19;1,29;1,54
Largo Pflegereiniger für Spülmaschinen 250ml;Verpackung/Reinigungsmittel/Hygiene;19;0,99;1,18
WECO Glaskeramikreiniger 250ml;Verpackung/Reinigungsmittel/Hygiene;19;0,99;1,18
WECO Urinsteinlöser 1l Schräghalsflasche ÄTZEND! Begrenzte Menge!;Verpackung/Reinigungsmittel/Hygiene;19;1,79;2,13
WECO Geschirr-Reiniger flüssig ohne Chlor 10l Kanister;Verpackung/Reinigungsmittel/Hygiene;19;29,99;35,69
WECO Entkalker Konzentrat 250ml;Verpackung/Reinigungsmittel/Hygiene;19;0,99;1,18
formany Geschirspülmittel citro fresh GRÜN 1l;Verpackung/Reinigungsmittel/Hygiene;19;1,39;1,65
Oliehoorn Saladesaus 50% Glutenfrei 10L;Saucen;7;21,99;23,53
Oliehoorn Mayonnaise 80% Tube 900ml;Saucen;7;3,49;3,73
Oliehoorn Tomatenketchup 10 kg;Saucen;7;24,99;26,74
Oliehoorn Tomatenketchup 900ml Tube;Saucen;7;3,19;3,41
Oliehoorn Currysauce 10kg;Saucen;7;24,99;26,74
Oliehoorn Currysauce 900ml Tube;Saucen;7;3,19;3,41
Oliehoorn Senf Tube 900ml;Saucen;7;3,19;3,41
Oliehoorn Knoblauchsauce 900ml Tube;Saucen;7;3,69;3,95
Oliehoorn Mayonnaise 10 L 80%;Saucen;7;27,99;29,95
Oliehoorn Mayonnaise 80% 198x20ml 198 Portionen;Saucen;19;22,49;26,76
Oliehoorn Tometenketchup 150x15ml 150 Portionen;Saucen;7;16,49;17,64
Oliehoorn Currysauce 150x15ml 150 Portionen;Saucen;7;16,49;17,64
Oliehoorn Senf 2,5L;Saucen;7;9,49;10,15
Oliehoorn Senf 300x10ml Portionen;Saucen;7;17,99;19,25
